country,x,y
Spain,1494.595918,374.1370499
Spain,1505.191534,351.8518519
Spain,1514.955102,387.7212544
Spain,1531.128042,382.9268293
Spain,1539.737143,423.2
Spain,1549.238095,414.3902439
Spain,1561.114286,424.8780488
Spain,1570.767347,475.6190476
Spain,1581.414966,474.8199768
Spain,1592.556614,492.3107498
Spain,1602.47619,448.6504065
Spain,1611.895238,401.1056911
Spain,1626.801905,335.3821138
Spain,1634.828571,329.7886179
Spain,1644.902857,276.6504065
Spain,1655.1,349.3658537
Spain,1663.085714,273.8536585
Spain,1673.824339,274.7859079
Spain,1682.742857,275.8513357
Spain,1694.209524,346.3148559
Spain,1702.604762,336.7804878
Spain,1713.661905,320
Spain,1722.291156,370.1416957
Spain,1731.749206,348.4336043
Spain,1741.407143,331.1869919
Spain,1750.314286,353.0948509
Spain,1760.006349,398.464318
Spain,1770.135238,366.1463415
Spain,1779.718095,407.5382114
Spain,1787.463946,418.0859466
Spain,1797.819048,449.1165312
Portugal,1500.914286,662.601626
Portugal,1511.971429,525.5609756
Portugal,1517.022222,364.2818428
Portugal,1522.755556,258.9376694
Portugal,1526.304762,189.0189702
Portugal,1524.666667,438.8617886
Portugal,1532.584127,203.9349593
Portugal,1541.047619,88.33604336
Portugal,1551.285714,8.162601626
Portugal,1559.680952,195.5447154
Portugal,1565.619048,300.8888889
Portugal,1575.720635,274.7859079
Portugal,1584.184127,278.5149051
Portugal,1594.695238,248.6829268
Portugal,1606.161905,360.5528455
Portugal,1614.925714,344.8910569
Portugal,1629.177143,424.3186992
Portugal,1640.971429,517.1707317
Portugal,1650.8,573.1056911
Portugal,1660.628571,531.1544715
Portugal,1672.3,494.796748
Portugal,1679.466667,453.7777778
Portugal,1690.933333,476.1517615
Portugal,1701.37619,405.300813
Portugal,1708.747619,486.4065041
Portugal,1717.961905,612.2601626
Portugal,1731.721905,684.9756098
Portugal,1738.711111,725.9945799
Portugal,1746.901587,740.9105691
Portugal,1756.457143,690.5691057
Portugal,1772.22381,651.4146341
Portugal,1783.158095,642.4650407
Portugal,1795.498413,561.9186992
